person,also_recorded_as,first_year,last_year,years_served,years,most_senior_office,all_offices,what_they_did,sources
Madison Payne,,2023-24,2023-24,1,2023-24,Ogden College of Science & Engineering Senator,Ogden College of Science & Engineering Senator (2023-24),"Payne, the Ogden College of Science & Engineering senator in 2023-24, received the inaugural Chief Justice's Verdict Award for August 2023, an honor Chief Justice Isaac King created that year to recognize a senator each month. At the spring semester's first meeting she was appointed chair of the Outreach Committee. She co-authored Bill 15-24-S, with Ryan Dilts, Elizabeth Gannon and Livi Ray, funding the SGA Spring Fling tailgate for Kids Cancer Alliance in March 2024. The Senate confirmed her to the 2024-25 Judicial Council at the 24th Senate's first fall meeting.","SGA Bill 15-24-S, 2023-24 session"
Maggie Phelps,,2025-26,2025-26,1,2025-26,PCAL Senator,PCAL Senator (2025-26),"Phelps was elected the Potter College of Arts and Letters senator in the spring 2025 general election, and was sworn onto the M.A.S.T.E.R. Plan Committee that September. In November 2025 she authored a bill funding a snack donation drive for the Boys and Girls Club, telling the Herald the club had a significant need for after-school snacks. In April 2026 she was sworn in as a new Judicial Council member for the 26th Senate.","SGA legislation: Bill 23-25-F, Funding for the Boys and Girls Holiday Snack Drive"
Maggie Yelton,,2024-25,2025-26,2,2024-25; 2025-26,Chief of Staff,Chief of Staff (2025-26); Junior Senator (2024-25),"Named as an author, with the seat title, on Bill 13-24-F, 29 October 2024, and again on Bill 9-25-S and Bill 15-25-S in 2025. The minutes spell her surname ""Yelton"" in bill text but ""Yealton"" in several meetings' prose (absences and officer reports) - flagged as a spelling doubt, not corrected. President Rush Robinson appointed Maggie Yelton chief of staff at the 25th Senate's first meeting on 23 April 2025, alongside senator-at-large Amelia Tucker; former Speaker Sarah Vincent swore in the new Senate. Yelton told the Herald's editorial board on 11 September 2025 that a new Swipe It Forward programme, sponsored by the WKU Restaurant Group, would let students donate up to three meal swipes a semester from their meal plans, redeemable at the Fresh Food Company by students who requested them through a food-assistance form; President Robinson said he expected it to appear on the iWKU app within a couple of weeks. At the Senate's 17 February 2026 meeting, which passed a bill funding CPR-certification vouchers, Yelton reported seven dental, one ID and thirteen transcript vouchers still available in the voucher program.","SGA Senate minutes, 29 Oct 2024; Wayback Machine capture, 15 Dec 2025"
Maiah Cisco,,2021-22,2023-24,2,2021-22; 2023-24,"Chair, Community Relations Committee","Chair, Community Relations Committee (2023-24); Senator (2021-22); Senator At-Large (2023-24)","Named as an author on one piece of SGA legislation in the 2021-22 session: Resolution 12-22-S (Resolution to Support the Additon of Benches on South Lawn). Maiah Cisco served as a senator at large in SGA for parts of two Senates, 2021-22 and 2023-24. In her first year she co-authored, with Campus Improvements and Sustainability chair Zachary Skillman, a resolution supporting the addition of benches on South Lawn. Returning to the Senate in 2023-24, she co-authored bills funding a Boys and Girls Club toy drive, a ""Dress for Success"" clothing drive, the Community Builder Excellence Scholarship for incoming Bowling Green-area freshmen, and SGA's contribution to Hope Harbor's Denim Day. Named as an author on four pieces of SGA legislation in the 2023-24 session: Bill 11-23-F (Funding for Boys and Girls Club Toy Drive); Bill 14-23-F (Funding for the “Community Builder Excellence” Scholarship); Bill 11-24-S (Funding for ""Dress for Success"" Drive). Bill 16-24-S amended SGA's constitution or bylaws.","Herald, 30 Aug 2023 - SGA selects Judicial Council, committee heads; SGA legislation: Bill 11-23-F, Funding for Boys and Girls Club Toy Drive; SGA legislation: Resolution 12-22-S, Resolution to Support the Addition of Benches on South Lawn"
Maksim Zaepfel,,2022-23,2022-23,1,2022-23,Senator At-large,Senator At-large (2022-23),"Zaepfel, printed ""Makism Zaepfel"" in the Herald's report, was elected a senator-at-large in the general election announced 20 April 2022.","SGA legislation: Bill 16-22-F, A Bill to Amend the Bylaws of the Student Government Association of Western Kentucky University"
Malachi Humble,,2025-26,2025-26,1,2025-26,Senior Senator,Senior Senator (2025-26),"Humble, a senior marketing and Spanish double major, was elected a senior senator in the spring 2025 election. That fall he was a main author of legislation funding a senior-appreciation sunrise breakfast on South Lawn, saying he pushed the bill because the Senate was focusing that year on senior appreciation. He also served on the Campus Improvements and Sustainability Committee, co-sponsoring a bill in November 2025 to fund community umbrellas for the Senate office. In February 2026, during a meeting with the WKU Restaurant Group, Humble raised the possibility of adding spicy chicken sandwiches to a campus dining value menu, citing several years working at a Chick-fil-A. In April 2026 he authored a bill for a senior sunset cookout, later amended to add condiments, which passed unanimously.","SGA legislation: Bill 20-26-S, Funding for the “Setting into Summer” event"
Malcolm Arvin,,1967-68,1967-68,1,1967-68,Junior Class Representative,Junior Class Representative (1967-68),"Malcolm Arvin held the Junior Class Representative seat in the 1967-68 Associated Student Government, per the officers' roster preserved in the WKU Archives.",UA3/3/1 Associated Student Government Officers 1967-68
Malick Ibrahim,,2024-25,2024-25,1,2024-25,Senator,Senator (2024-25),"Recorded as a member of the Organizational Aid Board from 15 October 2024, in the contacts block of Bill 9-24-F, alongside several senators. He is addressed as Senator Ibrahim from the first meeting in the 2024-25 minutes, on 10 September 2024, and appears in the absence lists of 24 September and 1, 15, 22 and 29 October 2024, after which he drops out of them. The Herald reported that the Judicial Council voted 7-0 on 6 November 2024 to remove him, Myricle Gholston and Karisha Petty from their seats for excessive unexcused absences, naming him in full. He had been elected a freshman senator in the fall 2023 special election for the 23rd Senate and appears to have continued into the 24th. No bill carries an author line giving his 2024-25 seat, so the seat is left unset.","SGA Senate minutes, 15 Oct 2024"
Mallory Chaney,,2011-12,2013-14,3,2011-12; 2012-13; 2013-14,"Chair, Campus Improvements","Chair, Campus Improvements (2012-13); Chair, Campus Improvements Committee (early fall 2013) (2013-14); Senator (2011-12)","Introduced herself as the incoming 2012-13 Campus Improvements committee chair on 28 August 2012, saying ""Last year I was a senator."" The minutes record a ""Senator Chaney"" offering a friendly amendment on 14 February 2012, consistent with this self-description. Postponed the annual campus safety walk to April 2013. The minutes of 3 September 2013 record Chaney chairing Campus Improvements at the start of the year. A senator of the same name had held the same chair the previous spring, announcing the campus safety walk of 26 February 2013.","SGA Senate minutes, 28 Aug 2012; SGA Senate minutes, 3 Sept 2013"
Mallory Hardesty,,2022-23,2022-23,1,2022-23,Junior Senator,Junior Senator (2022-23),"Mallory Hardesty served as a Junior Senator in 2022-23. She authored Bill 35-23-S, spending $200 to buy 35 menstrual cups for tabling events, with the backing of the Campus Improvements and Sustainability Committee; the Senate passed it 29-0 on 28 February 2023.","SGA legislation: Bill 35-23-S, Funding for Menstrual Cups for WKU Students"
Mallory Treece,,2012-13,2013-14,2,2012-13; 2013-14,Secretary of the Student Senate,"Secretary of the Student Senate (2012-13); Chair, Public Relations Committee (fall 2013) (2013-14)","Mallory Treece, a Smiths Grove freshman, was elected to the SGA senate in the fall 2011 election. By February 2012 she had been named public relations committee head, and the same semester she was one of four SGA members who traveled to the Rally for Higher Education in Frankfort, telling the Herald she wanted to ""come to the state capitol and rally for something I really care about."" In April 2012 Treece ran for speaker of the student senate against Christopher Costa and Poorvie Patel, telling senators she had fallen in love with SGA at her first meeting and believed her passion for the organization qualified her for the role; she lost to Costa. As public relations committee head that spring she co-authored the bill funding SGA's sponsorship of International Night, and she was a guest at the SGA delegation's picnic with WKU President Gary Ransdell in October 2012, by then serving as secretary of the senate, a post SGA's own leadership roster credited to her for 2012-13. She moved from secretary to public relations committee chair the following year. The minutes of 3 September 2013 record Treece chairing Public Relations. A senator of the same name had taken the same committee in February 2012, co-authored the bill by which SGA co-sponsored International Night that April, stood unsuccessfully for speaker of the senate against Christopher Costa, and was secretary of the senate in 2012-13.","SGA Senate minutes, 3 Sept 2013; WKU SGA site, legislative branch, 21 Oct 2012 (archived)"
Mandy Holbert,,1997-98,1997-98,1,1997-98,"Congress member, per the year's absence lists (seat not stated)","Congress member, per the year's absence lists (seat not stated) (1997-98)","Recorded absent from the Congress meeting of 27 Jan 1998, against a roster the minutes do not print in full.","SGA Meeting Minutes, 27 Jan 1998"
Marc Levy,,1974-75,1975-76,2,1974-75; 1975-76,ASG Congress Member,ASG Congress Member (1974-75); member (1975-76),"Marc Levy served as an ASG Congress member in 1974-75 and again in 1975-76, and was one of the Herald's most frequent student critics through both years, writing letters attacking Associated Student Government, the Herald itself, the Academic Council and the ASG constitution in issue after issue. In a letter printed in the Herald of 4 October 1974, Levy wrote that he had hoped the year's meetings would differ from what he called the previous year's ""invisible congress."" He reported that a roll call at the meeting of 1 October 1974 showed a good number of members missing, and that three of the four committee reports were delivered by president Jeff Consolo himself rather than by the committee chairs. In the fall of 1975 Levy brought a complaint against ASG treasurer David Payne over spending ahead of budget approval. The Judicial Council heard the case and cleared Payne of fund misuse, reported in the Herald's 21 November 1975 issue (51:25) under the headline ""Judicial Council Clears David Payne of Fund Misuse""; the same issue separately reported Levy had been picked ""top legislator"" at a recent intercollegiate meeting, without the archive confirming which one. Who's Who profile states he was active in the Academic Council, Associated Student Government (ASG) and Forensics Union, and made student government his major concern at Western. He also appears on the ASG Attendance Roll, and a separate ASG-related item describes him bringing spending-violation charges against ASG treasurer David Payne before the Judicial Council (council ruled for Payne).","1975 Talisman, Associated Student Government; 1976 Talisman, Who's Who, p. 63"
